date,city_name,product_id,product_name,category,total_orders,total_sales,stock_quantity,instock_darkstores,OOS_darkstores,total_darkstores
9/22/2025,bangalore,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,103,20497,747,153,5,158
9/15/2025,chennai,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,39,7761,143,46,8,54
9/18/2025,bangalore,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,22,4378,309,135,23,158
9/24/2025,delhi,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,54,10746,318,134,14,148
9/19/2025,bangalore,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,29,5771,306,135,23,158
9/12/2025,chennai,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,0,0,0,0,54,54
9/7/2025,mumbai,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,88,17600,200,78,16,94
9/5/2025,bangalore,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,34,6800,311,143,15,158
9/18/2025,hyderabad,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,35,6965,300,71,8,79
9/1/2025,bangalore,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,27,5400,224,127,31,158
9/23/2025,mumbai,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,67,13333,277,75,19,94
9/23/2025,mumbai,SKU8,Gentle Wet Baby Wipes with Aloe Vera - Pack of 5,Baby Wipes,24,6480,137,45,49,94
9/6/2025,chennai,SKU8,Gentle Wet Baby Wipes with Aloe Vera - Pack of 5,Baby Wipes,5,1570,37,20,34,54
9/8/2025,chennai,SKU8,Gentle Wet Baby Wipes with Aloe Vera - Pack of 5,Baby Wipes,3,1020,16,8,46,54
9/18/2025,bangalore,SKU8,Gentle Wet Baby Wipes with Aloe Vera - Pack of 5,Baby Wipes,26,7462,316,126,32,158
9/25/2025,bangalore,SKU8,Gentle Wet Baby Wipes with Aloe Vera - Pack of 5,Baby Wipes,26,7020,535,140,18,158
9/7/2025,chennai,SKU3,Mild Baby Laundry Detergent Refill,Hygiene,3,762,56,35,19,54
9/26/2025,chennai,SKU3,Mild Baby Laundry Detergent Refill,Hygiene,0,0,78,37,17,54
9/24/2025,mumbai,SKU3,Mild Baby Laundry Detergent Refill,Hygiene,29,6496,183,74,20,94
9/19/2025,chennai,SKU3,Mild Baby Laundry Detergent Refill,Hygiene,7,1554,91,46,8,54
9/11/2025,delhi,SKU3,Mild Baby Laundry Detergent Refill,Hygiene,31,10447,172,95,53,148
9/8/2025,hyderabad,SKU3,Mild Baby Laundry Detergent Refill,Hygiene,5,1685,69,35,44,79
9/17/2025,chennai,SKU3,Mild Baby Laundry Detergent Refill,Hygiene,10,2280,91,45,9,54
9/25/2025,bangalore,SKU3,Mild Baby Laundry Detergent Refill,Hygiene,13,2912,338,149,9,158
9/13/2025,hyderabad,SKU3,Mild Baby Laundry Detergent Refill,Hygiene,14,3486,63,50,29,79
9/8/2025,bangalore,SKU3,Mild Baby Laundry Detergent Refill,Hygiene,11,3707,260,141,17,158
9/21/2025,mumbai,SKU6,Mild Baby Laundry Detergent,Hygiene,5,1745,56,38,56,94
9/7/2025,delhi,SKU6,Mild Baby Laundry Detergent,Hygiene,28,9856,140,92,56,148
9/22/2025,hyderabad,SKU6,Mild Baby Laundry Detergent,Hygiene,8,2792,176,70,9,79
9/10/2025,bangalore,SKU6,Mild Baby Laundry Detergent,Hygiene,9,4527,250,153,5,158
9/1/2025,bangalore,SKU6,Mild Baby Laundry Detergent,Hygiene,6,2124,252,151,7,158
9/15/2025,mumbai,SKU6,Mild Baby Laundry Detergent,Hygiene,4,1396,34,21,73,94
9/25/2025,delhi,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,8,624,132,73,75,148
9/3/2025,hyderabad,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,26,2314,201,74,5,79
9/23/2025,hyderabad,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,26,2028,261,73,6,79
9/23/2025,mumbai,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,11,858,55,41,53,94
9/1/2025,chennai,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,5,445,98,48,6,54
9/1/2025,delhi,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,13,1157,89,64,84,148
9/24/2025,chennai,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,9,702,146,53,1,54
9/25/2025,mumbai,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,8,624,39,27,67,94
9/1/2025,delhi,SKU5,Nail Clipper,Hygiene,13,2353,203,126,22,148
9/23/2025,bangalore,SKU5,Nail Clipper,Hygiene,15,2310,327,139,19,158
9/25/2025,delhi,SKU5,Nail Clipper,Hygiene,14,2100,172,105,43,148
9/22/2025,delhi,SKU5,Nail Clipper,Hygiene,10,1630,147,99,49,148
9/8/2025,bangalore,SKU5,Nail Clipper,Hygiene,13,2418,412,151,7,158
9/14/2025,hyderabad,SKU5,Nail Clipper,Hygiene,13,2314,184,71,8,79
9/6/2025,mumbai,SKU5,Nail Clipper,Hygiene,12,2172,160,89,5,94
9/14/2025,chennai,SKU5,Nail Clipper,Hygiene,4,712,70,32,22,54
9/3/2025,hyderabad,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,25,4650,255,77,2,79
9/6/2025,hyderabad,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,21,3906,207,72,7,79
